Target,h2h_home_wins,h2h_away_wins,h2h_ties,home_scored,home_conceded,away_scored,away_conceded
away_win,1,2,0,129.0,145.0,88.0,105.0
home_win,0,0,0,141.0,134.0,81.0,95.0
home_win,0,1,0,214.0,101.0,27.0,51.0
tie,1,0,0,181.0,105.0,22.0,26.0
tie,2,1,0,219.0,119.0,166.0,140.0
away_win,0,1,1,61.0,101.0,96.0,65.0
home_win,2,2,1,204.0,185.0,125.0,109.0
away_win,17,17,7,13.0,108.0,55.0,68.0
tie,5,5,0,110.0,100.0,128.0,115.0
tie,8,1,2,118.0,106.0,53.0,102.0
tie,11,3,3,122.0,111.0,104.0,97.0
home_win,5,2,3,98.0,86.0,89.0,93.0
home_win,13,5,5,170.0,48.0,126.0,104.0
home_win,7,7,7,131.0,91.0,120.0,113.0
home_win,29,29,6,128.0,119.0,73.0,117.0
home_win,8,10,6,47.0,94.0,43.0,64.0
tie,18,25,19,81.0,139.0,154.0,157.0
away_win,7,3,4,34.0,19.0,20.0,23.0
home_win,4,10,1,73.0,49.0,14.0,23.0
away_win,0,1,0,0.0,1.0,72.0,51.0
tie,22,25,9,76.0,73.0,122.0,58.0
away_win,5,13,0,38.0,92.0,68.0,108.0
home_win,6,6,11,69.0,83.0,97.0,80.0
home_win,12,3,4,107.0,81.0,41.0,70.0
away_win,3,1,1,146.0,149.0,91.0,85.0
away_win,1,0,1,145.0,108.0,59.0,57.0
away_win,0,0,0,3.0,12.0,62.0,71.0
home_win,0,0,0,275.0,139.0,25.0,181.0
tie,1,0,2,129.0,127.0,241.0,132.0
home_win,2,0,1,121.0,88.0,97.0,137.0
tie,5,3,4,118.0,69.0,80.0,66.0
home_win,4,2,0,232.0,102.0,189.0,128.0
home_win,1,2,3,113.0,88.0,124.0,56.0
away_win,0,0,1,174.0,95.0,124.0,108.0
away_win,1,1,0,68.0,97.0,114.0,93.0
home_win,0,2,0,23.0,22.0,10.0,0.0
tie,1,3,2,72.0,92.0,118.0,93.0
home_win,5,15,3,164.0,121.0,135.0,89.0
tie,0,0,0,3.0,13.0,15.0,32.0
home_win,0,0,0,104.0,92.0,20.0,21.0
home_win,2,2,0,111.0,95.0,94.0,108.0
tie,2,1,2,143.0,71.0,105.0,87.0
home_win,1,1,1,72.0,74.0,21.0,38.0
home_win,7,16,12,130.0,84.0,100.0,68.0
home_win,3,2,5,81.0,155.0,73.0,119.0
away_win,0,0,0,38.0,36.0,12.0,6.0
away_win,0,0,0,66.0,90.0,147.0,76.0
away_win,0,0,0,96.0,60.0,184.0,79.0
home_win,6,7,0,100.0,73.0,20.0,49.0
home_win,3,6,4,130.0,91.0,114.0,93.0
away_win,0,0,0,19.0,29.0,52.0,32.0
tie,0,0,0,238.0,105.0,131.0,84.0
away_win,10,2,2,164.0,124.0,184.0,120.0
home_win,3,2,0,112.0,83.0,38.0,51.0
home_win,3,0,1,107.0,80.0,48.0,91.0
home_win,4,0,0,25.0,26.0,18.0,33.0
home_win,2,0,0,142.0,108.0,96.0,53.0
away_win,0,0,0,65.0,99.0,152.0,109.0
home_win,0,0,0,24.0,40.0,75.0,77.0
tie,4,0,0,156.0,140.0,40.0,78.0
away_win,2,6,1,79.0,44.0,69.0,49.0
home_win,0,1,1,31.0,66.0,11.0,15.0
home_win,4,0,1,138.0,71.0,39.0,53.0
away_win,3,14,2,134.0,111.0,258.0,138.0
tie,0,4,3,88.0,67.0,143.0,69.0
home_win,0,0,0,140.0,51.0,99.0,92.0
home_win,0,5,1,28.0,64.0,77.0,104.0
away_win,0,6,0,6.0,212.0,214.0,83.0
tie,7,1,0,45.0,33.0,17.0,25.0
home_win,1,7,1,45.0,58.0,37.0,47.0
home_win,2,0,0,114.0,76.0,14.0,145.0
home_win,4,5,3,112.0,76.0,103.0,94.0
